occurrences	io_formula	display_formula
11	[1,95]([1,95]([1,58]([5,4,"20011101000000"]),[6,557]),[5,2,"30"])	TO_DATE('01.11.01')-Ae Oblrdem-30
11	[1,95]([1,95]([1,58]([5,4,"20011101000000"]),[6,558]),[5,2,"30"])	TO_DATE('01.11.01')-Ae Oblrdem-30
11	[1,95]([1,95]([1,58]([5,4,"20011101000000"]),[6,566]),[5,2,"30"])	TO_DATE('01.11.01')-Ae Oblrdem-30
11	[1,95]([1,95]([1,58]([5,4,"20011101000000"]),[6,575]),[5,2,"30"])	TO_DATE('01.11.01')-Ae Oblrdem-30
11	[1,95]([1,95]([1,58]([5,4,"20011101000000"]),[6,647]),[5,2,"30"])	TO_DATE('01.11.01')-Ae Oblrdem-30
11	[1,95]([1,95]([1,58]([5,4,"20011101000000"]),[6,701]),[5,2,"30"])	TO_DATE('01.11.01')-Ae Oblrdem-30
11	[1,95]([1,95]([1,58]([5,4,"20011101000000"]),[6,710]),[5,2,"30"])	TO_DATE('01.11.01')-Ae Oblrdem-30
10	[1,102]([6,105],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20021101000000"]),[6,105]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('02.11.01')-Ffkf Dfjvysrcub)
10	[1,102]([6,117],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20021101000000"]),[6,117]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('02.11.01')-Ffkf Dfjvysrcub)
10	[1,102]([6,126],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20021101000000"]),[6,126]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('02.11.01')-Ffkf Dfjvysrcub)
10	[1,102]([6,17],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"19000331000000"]),[6,17]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('00.03.31')-Ffkf Dfjvysrcub)
10	[1,102]([6,18],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20131110000000"]),[6,18]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('13.11.10')-Ffkf Dfjvysrcub)
10	[1,102]([6,19],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20100331000000"]),[6,19]))	DECODE(Cqln Muefftqylijrw,NULL,-1,TO_DATE('10.03.31')-Cqln Muefftqylijrw)
10	[1,102]([6,65],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20021101000000"]),[6,65]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('02.11.01')-Ffkf Dfjvysrcub)
10	[1,102]([6,78],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20021101000000"]),[6,78]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('02.11.01')-Ffkf Dfjvysrcub)
10	[1,102]([6,87],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20021101000000"]),[6,87]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('02.11.01')-Ffkf Dfjvysrcub)
10	[1,102]([6,96],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20021101000000"]),[6,96]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('02.11.01')-Ffkf Dfjvysrcub)
10	[1,95]([1,58]([5,4,"20010801000000"]),[6,170])	TO_DATE('01.08.01')-Aj Uxhyqg
10	[1,95]([1,58]([5,4,"20010801000000"]),[6,197])	TO_DATE('01.08.01')-Aj Uxhyqg
10	[1,95]([1,58]([5,4,"20010801000000"]),[6,264])	TO_DATE('01.08.01')-Aj Uxhyqg
10	[1,95]([1,58]([5,4,"20010801000000"]),[6,291])	TO_DATE('01.08.01')-Aj Uxhyqg
10	[1,95]([1,58]([5,4,"20020314000000"]),[5,2,"0"])	TO_DATE('02.03.14')-0
10	[1,95]([1,58]([5,4,"20020314000000"]),[5,2,"30"])	TO_DATE('02.03.14')-30
10	[1,95]([1,95]([1,58]([5,4,"19951001000000"]),[6,499]),[5,2,"30"])	TO_DATE('95.10.01')-Ae Oblrdem-30
10	[1,95]([1,95]([1,58]([5,4,"19951001000000"]),[6,528]),[5,2,"30"])	TO_DATE('95.10.01')-Ae Oblrdem-30
10	[1,95]([1,95]([1,58]([5,4,"19951001000000"]),[6,57]),[5,2,"30"])	TO_DATE('95.10.01')-Jo Bmnqtf Kag-30
10	[1,95]([1,95]([1,58]([5,4,"19951001000000"]),[6,584]),[5,2,"30"])	TO_DATE('95.10.01')-Ae Oblrdem-30
10	[1,95]([1,95]([1,58]([5,4,"20011001000000"]),[6,57]),[5,2,"30"])	TO_DATE('01.10.01')-Jo Bmnqtf Kag-30
10	[1,96]([6,20],[6,21])	Ten*Zi Chbblh
9	[1,102]([1,55]([6,39],[5,1,"RRRR"]),[1,55]([6,40],[5,1,"RRRR"]),[5,1,"S"],[5,1,"N"])	DECODE(TO_CHAR(Rk Xclypx Opazdtft,'RRRR'),TO_CHAR(An Rlpaotna Hzwyefc,'RRRR'),'S','N')
9	[1,102]([6,17],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20060331000000"]),[6,17]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('06.03.31')-Ffkf Dfjvysrcub)
9	[1,102]([6,18],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20180501000000"]),[6,18]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('18.05.01')-Ffkf Dfjvysrcub)
9	[1,1]([1,102]([1,12]([6,16]),[5,2,"-1"],[1,102]([6,17],[5,1,"ZB"],[6,16],[5,2,"0"]),[5,2,"0"]))	SUM(DECODE(SIGN(Cmubp Ycuaftikq),-1,DECODE(Eenp Ferkojvkb,'ZB',Cmubp Ycuaftikq,0),0))
9	[1,1]([1,102]([1,12]([6,16]),[5,2,"-1"],[5,2,"0"],[1,102]([6,17],[5,1,"ZB"],[6,16],[5,2,"0"])))	SUM(DECODE(SIGN(Cmubp Ycuaftikq),-1,0,DECODE(Eenp Ferkojvkb,'ZB',Cmubp Ycuaftikq,0)))
9	[1,81]([6,26],[5,2,"1522501002"])	U Bthpput = 3156233073
9	[1,95]([1,58]([5,4,"20020131000000"]),[5,2,"0"])	TO_DATE('02.01.31')-0
9	[1,95]([1,58]([5,4,"20020131000000"]),[5,2,"30"])	TO_DATE('02.01.31')-30
9	[1,95]([1,58]([5,4,"20020306000000"]),[6,17])	TO_DATE('02.03.06')-Aj Uxhyqg
9	[1,95]([1,58]([5,4,"20020306000000"]),[6,24])	TO_DATE('02.03.06')-Aj Uxhyqg
9	[1,95]([1,58]([5,4,"20020306000000"]),[6,28])	TO_DATE('02.03.06')-Aj Uxhyqg
9	[1,95]([1,58]([5,4,"20020313000000"]),[6,134])	TO_DATE('02.03.13')-Aj Uxhyqg
9	[1,95]([1,58]([5,4,"20020313000000"]),[6,188])	TO_DATE('02.03.13')-Aj Uxhyqg
9	[1,95]([1,58]([5,4,"20020313000000"]),[6,191])	TO_DATE('02.03.13')-Aj Uxhyqg
9	[1,95]([1,58]([5,4,"20020313000000"]),[6,200])	TO_DATE('02.03.13')-Aj Uxhyqg
9	[1,95]([1,58]([5,4,"20020313000000"]),[6,215])	TO_DATE('02.03.13')-Aj Uxhyqg
9	[1,95]([1,58]([5,4,"20020313000000"]),[6,227])	TO_DATE('02.03.13')-Aj Uxhyqg
9	[1,95]([1,58]([5,4,"20020313000000"]),[6,246])	TO_DATE('02.03.13')-Aj Uxhyqg
9	[1,95]([1,58]([5,4,"20020313000000"]),[6,273])	TO_DATE('02.03.13')-Aj Uxhyqg
9	[1,95]([1,58]([5,4,"20020313000000"]),[6,282])	TO_DATE('02.03.13')-Aj Uxhyqg
9	[1,95]([1,58]([5,4,"20020313000000"]),[6,318])	TO_DATE('02.03.13')-Aj Uxhyqg
9	[1,95]([1,58]([5,4,"20020313000000"]),[6,327])	TO_DATE('02.03.13')-Aj Uxhyqg
9	[1,95]([1,58]([5,4,"20020415000000"]),[5,2,"0"])	TO_DATE('02.04.15')-0
9	[1,95]([1,58]([5,4,"20020731000000"]),[5,2,"30"])	TO_DATE('02.07.31')-30
9	[1,95]([1,58]([5,4,"20020731000000"]),[5,2,"3000"])	TO_DATE('02.07.31')-3000
9	[1,95]([1,58]([5,4,"20020731000000"]),[5,2,"365"])	TO_DATE('02.07.31')-365
9	[1,95]([1,58]([5,4,"20020731000000"]),[5,2,"60"])	TO_DATE('02.07.31')-60
9	[1,95]([1,58]([5,4,"20020831000000"]),[1,49]([6,24]))	TO_DATE('02.08.31')-TRUNC(Iiuuzvtj)
9	[1,95]([1,58]([5,4,"20020914000000"]),[1,61]([5,2,"-1"]))	TO_DATE('02.09.14')-TO_NUMBER(-1)
9	[1,95]([1,58]([5,4,"20020914000000"]),[1,61]([5,2,"0"]))	TO_DATE('02.09.14')-TO_NUMBER(0)
9	[1,95]([1,58]([5,4,"20020914000000"]),[1,61]([5,2,"365"]))	TO_DATE('02.09.14')-TO_NUMBER(365)
9	[1,95]([6,36],[6,37])	Nvvqoz Ljondwkkj-Siqvnqkj Spfu
9	[1,95]([6,42],[6,43])	Vrpn Xwncsmhne-Cpvs Wjkc
9	[1,96]([6,19],[6,20])	W Dsqlhttj*Zi Chbblh
8	[1,102]([6,111],[5,2,"5"],[1,95]([1,95]([1,58]([5,4,"20010314000000"]),[1,49]([6,170])),[5,2,"30"]),[1,95]([1,58]([5,4,"20010314000000"]),[1,49]([6,170])))	DECODE(Ferafdau,5,TO_DATE('01.03.14')-TRUNC(Aj Uxhyqg)-30,TO_DATE('01.03.14')-TRUNC(Aj Uxhyqg))
8	[1,102]([6,129],[5,2,"5"],[1,95]([1,95]([1,58]([5,4,"20010314000000"]),[1,49]([6,188])),[5,2,"30"]),[1,95]([1,58]([5,4,"20010314000000"]),[1,49]([6,188])))	DECODE(Ferafdau,5,TO_DATE('01.03.14')-TRUNC(Aj Uxhyqg)-30,TO_DATE('01.03.14')-TRUNC(Aj Uxhyqg))
8	[1,102]([6,138],[5,2,"5"],[1,94]([1,95]([1,58]([5,4,"20020731000000"]),[1,49]([6,197])),[5,2,"30"]),[1,95]([1,58]([5,4,"20020731000000"]),[1,49]([6,197])))	DECODE(Ferafdau,5,TO_DATE('02.07.31')-TRUNC(Aj Uxhyqg)+30,TO_DATE('02.07.31')-TRUNC(Aj Uxhyqg))
8	[1,102]([6,138],[5,2,"5"],[1,94]([1,95]([1,58]([5,4,"20020914000000"]),[1,49]([6,197])),[5,2,"30"]),[1,95]([1,58]([5,4,"20020914000000"]),[1,49]([6,197])))	DECODE(Ferafdau,5,TO_DATE('02.09.14')-TRUNC(Aj Uxhyqg)+30,TO_DATE('02.09.14')-TRUNC(Aj Uxhyqg))
8	[1,102]([6,155],[5,2,"5"],[1,95]([1,95]([1,58]([5,4,"20010314000000"]),[1,49]([6,264])),[5,2,"30"]),[1,95]([1,58]([5,4,"20010314000000"]),[1,49]([6,264])))	DECODE(Ferafdau,5,TO_DATE('01.03.14')-TRUNC(Aj Uxhyqg)-30,TO_DATE('01.03.14')-TRUNC(Aj Uxhyqg))
8	[1,102]([6,156],[5,2,"5"],[1,95]([1,95]([1,58]([5,4,"20010314000000"]),[1,49]([6,215])),[5,2,"30"]),[1,95]([1,58]([5,4,"20010314000000"]),[1,49]([6,215])))	DECODE(Ferafdau,5,TO_DATE('01.03.14')-TRUNC(Aj Uxhyqg)-30,TO_DATE('01.03.14')-TRUNC(Aj Uxhyqg))
8	[1,102]([6,168],[5,2,"5"],[1,95]([1,95]([1,58]([5,4,"20010314000000"]),[1,49]([6,227])),[5,2,"30"]),[1,95]([1,58]([5,4,"20010314000000"]),[1,49]([6,227])))	DECODE(Ferafdau,5,TO_DATE('01.03.14')-TRUNC(Aj Uxhyqg)-30,TO_DATE('01.03.14')-TRUNC(Aj Uxhyqg))
8	[1,102]([6,16],[5,1,"QWEIXSWRRKWTGR"],[1,102]([1,12]([1,95]([6,17],[1,55]([5,4,"20030101000000"],[5,1,"YYYY"]))),[5,2,"-1"],[5,2,"0"],[1,94]([1,94]([1,94]([1,94]([1,94]([1,94]([1,94]([1,94]([1,94]([1,94]([1,94]([1,102]([1,12]([1,95]([5,2,"1"],[1,55]([5,4,"20030101000000"],[5,1,"MM"]))),[5,2,"-1"],[5,2,"0"],[6,18]),[1,102]([1,12]([1,95]([5,2,"2"],[1,55]([5,4,"20030101000000"],[5,1,"MM"]))),[5,2,"-1"],[5,2,"0"],[6,19])),[1,102]([1,12]([1,95]([5,2,"3"],[1,55]([5,4,"20030101000000"],[5,1,"MM"]))),[5,2,"-1"],[5,2,"0"],[6,20])),[1,102]([1,12]([1,95]([5,2,"4"],[1,55]([5,4,"20030101000000"],[5,1,"MM"]))),[5,2,"-1"],[5,2,"0"],[6,21])),[1,102]([1,12]([1,95]([5,2,"5"],[1,55]([5,4,"20030101000000"],[5,1,"MM"]))),[5,2,"-1"],[5,2,"0"],[6,22])),[1,102]([1,12]([1,95]([5,2,"6"],[1,55]([5,4,"20030101000000"],[5,1,"MM"]))),[5,2,"-1"],[5,2,"0"],[6,23])),[1,102]([1,12]([1,95]([5,2,"7"],[1,55]([5,4,"20030101000000"],[5,1,"MM"]))),[5,2,"-1"],[5,2,"0"],[6,24])),[1,102]([1,12]([1,95]([5,2,"8"],[1,55]([5,4,"20030101000000"],[5,1,"MM"]))),[5,2,"-1"],[5,2,"0"],[6,25])),[1,102]([1,12]([1,95]([5,2,"9"],[1,55]([5,4,"20030101000000"],[5,1,"MM"]))),[5,2,"-1"],[5,2,"0"],[6,26])),[1,102]([1,12]([1,95]([5,2,"10"],[1,55]([5,4,"20030101000000"],[5,1,"MM"]))),[5,2,"-1"],[5,2,"0"],[6,27])),[1,102]([1,12]([1,95]([5,2,"11"],[1,55]([5,4,"20030101000000"],[5,1,"MM"]))),[5,2,"-1"],[5,2,"0"],[6,28])),[1,102]([1,12]([1,95]([5,2,"12"],[1,55]([5,4,"20030101000000"],[5,1,"MM"]))),[5,2,"-1"],[5,2,"0"],[6,29]))),[5,2,"0"])	DECODE(Nhgd,'QWEIXSWRRKWTGR',DECODE(SIGN(Tob-TO_CHAR('03.01.01','YYYY')),-1,0,DECODE(SIGN(1-TO_CHAR('03.01.01','MM')),-1,0,Enveble)+DECODE(SIGN(2-TO_CHAR('03.01.01','MM')),-1,0,Qeqkwadvj)+DECODE(SIGN(3-TO_CHAR('03.01.01','MM')),-1,0,Bqfbv)+DECODE(SIGN(4-TO_CHAR('03.01.01','MM')),-1,0,Olyje)+DECODE(SIGN(5-TO_CHAR('03.01.01','MM')),-1,0,Ffnt)+DECODE(SIGN(6-TO_CHAR('03.01.01','MM')),-1,0,Btmyh)+DECODE(SIGN(7-TO_CHAR('03.01.01','MM')),-1,0,Vzase)+DECODE(SIGN(8-TO_CHAR('03.01.01','MM')),-1,0,Uwpojo)+DECODE(SIGN(9-TO_CHAR('03.01.01','MM')),-1,0,Pbfwpbtj)+DECODE(SIGN(10-TO_CHAR('03.01.01','MM')),-1,0,Djswrvn)+DECODE(SIGN(11-TO_CHAR('03.01.01','MM')),-1,0,Fzehymjf)+DECODE(SIGN(12-TO_CHAR('03.01.01','MM')),-1,0,Paermrds)),0)
8	[1,102]([6,17],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"19900331000000"]),[6,17]))	DECODE(Cqln Muefftqylijrw,NULL,-1,TO_DATE('90.03.31')-Cqln Muefftqylijrw)
8	[1,102]([6,17],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20100331000000"]),[6,17]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('10.03.31')-Ffkf Dfjvysrcub)
8	[1,102]([6,18],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20030628000000"]),[6,18]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('03.06.28')-Ffkf Dfjvysrcub)
8	[1,102]([6,209],[5,2,"5"],[1,95]([1,95]([1,58]([5,4,"20010314000000"]),[1,49]([6,318])),[5,2,"30"]),[1,95]([1,58]([5,4,"20010314000000"]),[1,49]([6,318])))	DECODE(Ferafdau,5,TO_DATE('01.03.14')-TRUNC(Aj Uxhyqg)-30,TO_DATE('01.03.14')-TRUNC(Aj Uxhyqg))
8	[1,102]([6,218],[5,2,"5"],[1,95]([1,95]([1,58]([5,4,"20010314000000"]),[1,49]([6,327])),[5,2,"30"]),[1,95]([1,58]([5,4,"20010314000000"]),[1,49]([6,327])))	DECODE(Ferafdau,5,TO_DATE('01.03.14')-TRUNC(Aj Uxhyqg)-30,TO_DATE('01.03.14')-TRUNC(Aj Uxhyqg))
8	[1,102]([6,21],[1,115](),[5,2,"-1"],[1,95]([1,58]([5,4,"20021231000000"]),[6,21]))	DECODE(Ffkf Dfjvysrcub,NULL,-1,TO_DATE('02.12.31')-Ffkf Dfjvysrcub)
8	[1,102]([6,254],[5,2,"5"],[1,94]([1,95]([1,58]([5,4,"20020914000000"]),[1,49]([6,291])),[5,2,"30"]),[1,95]([1,58]([5,4,"20020914000000"]),[1,49]([6,291])))	DECODE(Ferafdau,5,TO_DATE('02.09.14')-TRUNC(Aj Uxhyqg)+30,TO_DATE('02.09.14')-TRUNC(Aj Uxhyqg))
8	[1,102]([6,29],[5,2,"0"],[5,1,"OS"],[1,115](),[5,1,"OS"],[1,102]([6,28],[5,2,"0"],[5,1,"MI"],[1,115](),[5,1,"MI"],[5,1,"MM"]))	DECODE(Pjw Kgao Dc,0,'OS',NULL,'OS',DECODE(Adk Gnnv Pv,0,'MI',NULL,'MI','MM'))
8	[1,1]([1,102]([1,12]([6,16]),[5,2,"-1"],[5,2,"0"],[1,102]([6,17],[5,1,"Z0"],[6,16],[5,1,"C8"],[6,16],[5,1,"A9"],[6,16],[5,1,"T3"],[6,16],[5,1,"H4"],[6,16],[5,1,"I0"],[6,16],[5,2,"0"])))	SUM(DECODE(SIGN(Cmubp Ycuaftikq),-1,0,DECODE(Eenp Ferkojvkb,'Z0',Cmubp Ycuaftikq,'C8',Cmubp Ycuaftikq,'A9',Cmubp Ycuaftikq,'T3',Cmubp Ycuaftikq,'H4',Cmubp Ycuaftikq,'I0',Cmubp Ycuaftikq,0)))
8	[1,1]([1,102]([6,23],[5,1,"K7"],[6,21],[5,1,"M0"],[6,21],[5,2,"0"]))	SUM(DECODE(Eenp Ferkojvkb,'K7',Cmubp Ycuaftikq,'M0',Cmubp Ycuaftikq,0))
8	[1,1]([1,102]([6,23],[5,1,"Z0"],[6,21],[5,1,"C8"],[6,21],[5,1,"A9"],[6,21],[5,1,"T3"],[6,21],[5,1,"H4"],[6,21],[5,1,"I0"],[6,21],[5,2,"0"]))	SUM(DECODE(Eenp Ferkojvkb,'Z0',Cmubp Ycuaftikq,'C8',Cmubp Ycuaftikq,'A9',Cmubp Ycuaftikq,'T3',Cmubp Ycuaftikq,'H4',Cmubp Ycuaftikq,'I0',Cmubp Ycuaftikq,0))
8	[1,55]([6,17])	TO_CHAR(Sbbqlc)
8	[1,87]([6,429],[8,430])	Nsl Cggc Atjohqmkv CWIE :"Rgqy Pnvecñõfy"
8	[1,94]([1,94]([1,94]([1,94]([1,94]([1,94]([1,94]([1,68]([6,1071],[5,2,"0"]),[1,68]([6,1074],[5,2,"0"])),[1,68]([6,1077],[5,2,"0"])),[1,68]([6,1080],[5,2,"0"])),[1,68]([6,1083],[5,2,"0"])),[1,68]([6,1086],[5,2,"0"])),[1,68]([6,215],[5,2,"0"])),[1,68]([6,219],[5,2,"0"]))	NVL("<311",0)+NVL("44 g 063",0)+NVL("65 X 266",0)+NVL("17 V 2529",0)+NVL("843 I 4780",0)+NVL("982 Y 7443",0)+NVL(JN EDVGTJHQLZJ,0)+NVL("WTLOO SVÃGBH BRUGTUAX",0)
8	[1,95]([1,58]([5,4,"20011231000000"]),[6,17])	TO_DATE('01.12.31')-Aj Uxhyqg
8	[1,95]([1,58]([5,4,"20011231000000"]),[6,24])	TO_DATE('01.12.31')-Aj Uxhyqg
8	[1,95]([1,58]([5,4,"20011231000000"]),[6,28])	TO_DATE('01.12.31')-Aj Uxhyqg
8	[1,95]([1,58]([5,4,"20020319000000"]),[1,49]([6,24]))	TO_DATE('02.03.19')-TRUNC(Iiuuzvtj)
8	[1,95]([1,58]([5,4,"20020415000000"]),[6,291])	TO_DATE('02.04.15')-Aj Uxhyqg
8	[1,95]([1,95]([1,58]([5,4,"20011212000000"]),[6,472]),[5,2,"30"])	TO_DATE('01.12.12')-Ae Oblrdem-30
8	[1,95]([1,95]([1,58]([5,4,"20011212000000"]),[6,490]),[5,2,"30"])	TO_DATE('01.12.12')-Ae Oblrdem-30
8	[1,95]([1,95]([1,58]([5,4,"20011212000000"]),[6,492]),[5,2,"30"])	TO_DATE('01.12.12')-Ae Oblrdem-30
8	[1,95]([1,95]([1,58]([5,4,"20011212000000"]),[6,517]),[5,2,"30"])	TO_DATE('01.12.12')-Ae Oblrdem-30
8	[1,95]([1,95]([1,58]([5,4,"20011212000000"]),[6,539]),[5,2,"30"])	TO_DATE('01.12.12')-Ae Oblrdem-30
8	[1,95]([1,95]([1,58]([5,4,"20011212000000"]),[6,549]),[5,2,"30"])	TO_DATE('01.12.12')-Ae Oblrdem-30
8	[1,95]([1,95]([1,58]([5,4,"20011212000000"]),[6,557]),[5,2,"30"])	TO_DATE('01.12.12')-Ae Oblrdem-30
8	[1,95]([1,95]([1,58]([5,4,"20011212000000"]),[6,558]),[5,2,"30"])	TO_DATE('01.12.12')-Ae Oblrdem-30
8	[1,95]([1,95]([1,58]([5,4,"20011212000000"]),[6,566]),[5,2,"30"])	TO_DATE('01.12.12')-Ae Oblrdem-30
8	[1,95]([1,95]([1,58]([5,4,"20011212000000"]),[6,575]),[5,2,"30"])	TO_DATE('01.12.12')-Ae Oblrdem-30
8	[1,95]([1,95]([1,58]([5,4,"20011212000000"]),[6,647]),[5,2,"30"])	TO_DATE('01.12.12')-Ae Oblrdem-30
8	[1,95]([1,95]([1,58]([5,4,"20011212000000"]),[6,701]),[5,2,"30"])	TO_DATE('01.12.12')-Ae Oblrdem-30
8	[1,95]([1,95]([1,58]([5,4,"20011212000000"]),[6,710]),[5,2,"30"])	TO_DATE('01.12.12')-Ae Oblrdem-30
8	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,19],[5,2,"120"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,19],[5,2,"90"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-120),1,NULL,DECODE(SIGN(Doub6-90),1,W Dsqlhttj,NULL)))*Zi Chbblh
8	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,19],[5,2,"150"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,19],[5,2,"120"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-150),1,NULL,DECODE(SIGN(Doub6-120),1,W Dsqlhttj,NULL)))*Zi Chbblh
8	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,19],[5,2,"180"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,19],[5,2,"150"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,NULL,DECODE(SIGN(Doub6-150),1,W Dsqlhttj,NULL)))*Zi Chbblh
8	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,19],[5,2,"180"])),[5,2,"1"],[6,17],[1,115]())),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,W Dsqlhttj,NULL))*Zi Chbblh
8	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,19],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,19]),[5,2,"-1"],[1,115](),[6,17]))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,NULL,W Dsqlhttj)))*Zi Chbblh
8	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,19],[5,2,"60"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,19],[5,2,"30"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-60),1,NULL,DECODE(SIGN(Doub6-30),1,W Dsqlhttj,NULL)))*Zi Chbblh
8	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,19],[5,2,"90"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,19],[5,2,"60"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-90),1,NULL,DECODE(SIGN(Doub6-60),1,W Dsqlhttj,NULL)))*Zi Chbblh
8	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,29],[5,2,"120"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,29],[5,2,"90"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-120),1,NULL,DECODE(SIGN(Doub6-90),1,W Dsqlhttj,NULL)))*Zi Chbblh
8	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,29],[5,2,"150"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,29],[5,2,"120"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-150),1,NULL,DECODE(SIGN(Doub6-120),1,W Dsqlhttj,NULL)))*Zi Chbblh
8	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,29],[5,2,"180"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,29],[5,2,"150"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,NULL,DECODE(SIGN(Doub6-150),1,W Dsqlhttj,NULL)))*Zi Chbblh
8	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,29],[5,2,"180"])),[5,2,"1"],[6,17],[1,115]())),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-180),1,W Dsqlhttj,NULL))*Zi Chbblh
8	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,29],[5,2,"30"])),[5,2,"1"],[1,115](),[1,102]([1,12]([6,29]),[5,2,"-1"],[1,115](),[6,17]))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-30),1,NULL,DECODE(SIGN(Doub6),-1,NULL,W Dsqlhttj)))*Zi Chbblh
8	[1,96]([1,102]([6,16],[5,2,"6"],[1,115](),[1,102]([1,12]([1,95]([6,29],[5,2,"60"])),[5,2,"1"],[1,115](),[1,102]([1,12]([1,95]([6,29],[5,2,"30"])),[5,2,"1"],[6,17],[1,115]()))),[6,20])	DECODE(Rz,6,NULL,DECODE(SIGN(Doub6-60),1,NULL,DECODE(SIGN(Doub6-30),1,W Dsqlhttj,NULL)))*Zi Chbblh
